Date,Open,High,Low,Close,Volume,Adj Close
2017-04-21,11.46,11.48,11.32,11.34,25924600,11.34
2017-04-20,11.25,11.50,11.24,11.47,49990200,11.47
2017-04-19,11.19,11.28,11.17,11.19,37524400,11.19
2017-04-18,11.15,11.18,11.08,11.14,35660000,11.14
2017-04-17,11.22,11.30,11.14,11.28,44731700,11.13
2017-04-13,11.22,11.25,11.11,11.11,32789900,10.96226
2017-04-12,11.27,11.30,11.20,11.23,56588400,11.080665
2017-04-11,11.27,11.28,11.17,11.28,36366300,11.13
2017-04-10,11.26,11.35,11.24,11.25,25857100,11.100399
2017-04-07,11.26,11.31,11.21,11.23,28874900,11.080665
2017-04-06,11.27,11.36,11.22,11.27,36165300,11.120134
2017-04-05,11.48,11.50,11.25,11.26,43316100,11.110266
2017-04-04,11.38,11.48,11.28,11.37,40068200,11.218803
2017-04-03,11.64,11.64,11.28,11.44,65671100,11.287872
2017-03-31,11.66,11.68,11.60,11.64,26717500,11.485213
2017-03-30,11.67,11.74,11.61,11.68,28008200,11.524681
2017-03-29,11.73,11.76,11.64,11.68,35795700,11.524681
2017-03-28,11.51,11.80,11.48,11.65,57662800,11.49508
2017-03-27,11.51,11.55,11.41,11.46,57713400,11.307607
2017-03-24,11.66,11.77,11.55,11.62,43772400,11.465479
2017-03-23,11.57,11.75,11.50,11.67,71209300,11.514814
2017-03-22,11.72,11.83,11.62,11.77,71107900,11.613485
2017-03-21,12.30,12.32,11.70,11.72,101559900,11.564149
2017-03-20,12.48,12.49,12.25,12.28,45329700,12.116702
2017-03-17,12.74,12.74,12.45,12.48,54929100,12.314042
2017-03-16,12.65,12.72,12.59,12.70,28954700,12.531117
2017-03-15,12.56,12.65,12.52,12.65,34296200,12.481782
2017-03-14,12.51,12.56,12.45,12.55,26956700,12.383112
2017-03-13,12.56,12.63,12.50,12.54,22625800,12.373245
2017-03-10,12.55,12.63,12.47,12.53,34866100,12.363378
2017-03-09,12.54,12.54,12.40,12.50,29149100,12.333777
2017-03-08,12.50,12.64,12.46,12.53,27327800,12.363378
2017-03-07,12.51,12.53,12.42,12.46,25906900,12.294309
2017-03-06,12.58,12.60,12.50,12.52,28753600,12.353511
2017-03-03,12.66,12.71,12.53,12.65,30429200,12.481782
2017-03-02,12.72,12.75,12.58,12.66,33245100,12.491649
2017-03-01,12.66,12.75,12.65,12.69,36178600,12.52125
2017-02-28,12.63,12.66,12.45,12.53,36089800,12.363378
2017-02-27,12.49,12.68,12.43,12.66,41713100,12.491649
2017-02-24,12.51,12.51,12.38,12.47,40817300,12.304176
2017-02-23,12.70,12.72,12.55,12.56,22520600,12.392979
2017-02-22,12.66,12.77,12.65,12.67,24787500,12.501516
2017-02-21,12.61,12.72,12.61,12.69,29156200,12.52125
2017-02-17,12.50,12.58,12.42,12.58,26407400,12.412713
2017-02-16,12.61,12.64,12.48,12.54,22896500,12.373245
2017-02-15,12.62,12.64,12.55,12.63,25114400,12.462048
2017-02-14,12.64,12.70,12.59,12.65,28355700,12.481782
2017-02-13,12.54,12.62,12.48,12.56,24474000,12.392979
2017-02-10,12.44,12.51,12.37,12.51,32996500,12.343644
2017-02-09,12.38,12.47,12.35,12.38,32924600,12.215373
2017-02-08,12.34,12.45,12.27,12.38,26411400,12.215373
2017-02-07,12.50,12.52,12.31,12.34,32914400,12.175905
2017-02-06,12.55,12.62,12.46,12.52,26916800,12.353511
2017-02-03,12.42,12.62,12.39,12.56,38245300,12.392979
2017-02-02,12.30,12.37,12.23,12.28,29035400,12.116702
2017-02-01,12.45,12.58,12.22,12.32,44396800,12.15617
2017-01-31,12.31,12.39,12.19,12.36,46974500,12.195638
2017-01-30,12.46,12.46,12.28,12.37,39254200,12.205505
2017-01-27,12.48,12.54,12.38,12.49,34613900,12.32391
2017-01-26,12.65,12.68,12.35,12.37,55672800,12.205505
2017-01-25,12.71,12.80,12.64,12.79,46747800,12.61992
2017-01-24,12.35,12.61,12.34,12.61,34625200,12.442314
2017-01-23,12.35,12.38,12.22,12.31,31670700,12.146304
2017-01-20,12.45,12.48,12.31,12.36,29270000,12.195638
2017-01-19,12.40,12.56,12.34,12.43,30135600,12.264708
2017-01-18,12.43,12.45,12.30,12.41,33830800,12.244973
2017-01-17,12.65,12.73,12.54,12.61,49069500,12.244973
2017-01-13,12.62,12.67,12.50,12.63,29197100,12.264394
2017-01-12,12.66,12.68,12.35,12.59,36493300,12.225552
2017-01-11,12.71,12.72,12.51,12.67,49718700,12.303236
2017-01-10,12.70,13.02,12.66,12.85,58703500,12.478026
2017-01-09,12.79,12.86,12.63,12.63,39183400,12.264394
2017-01-06,12.80,12.84,12.64,12.76,40315900,12.390631
2017-01-05,13.21,13.22,12.63,12.77,75628400,12.400342
2017-01-04,12.77,13.27,12.74,13.17,77638100,12.788763
2017-01-03,12.20,12.60,12.13,12.59,40510800,12.225552
2016-12-30,12.24,12.28,12.08,12.13,27405700,11.778868
2016-12-29,12.25,12.31,12.22,12.23,19819100,11.875973
2016-12-28,12.37,12.45,12.22,12.25,26875400,11.895394
2016-12-27,12.43,12.51,12.36,12.39,19467400,12.031342
2016-12-23,12.43,12.46,12.36,12.46,15621200,12.099315
2016-12-22,12.63,12.64,12.40,12.40,27821100,12.041052
2016-12-21,12.73,12.77,12.64,12.64,18117100,12.274105
2016-12-20,12.70,12.82,12.68,12.78,17834000,12.410052
2016-12-19,12.59,12.80,12.59,12.66,22830000,12.293526
